X,Y,Name,description
2.1792861,41.3826917,Mercer Hotel Barcelona,
2.1777654,41.3849706,Grand Hotel Central,
2.1793533,41.3785399,Soho House Barcelona,
2.1632871,41.3962615,Hotel Praktik Bakery,
17.22331,40.94782,Masseria Petrarolo,
6.4270219,43.3362962,"UP | Ultimate Provence | Hôtel-Vignoble, restaurant & Bar.",
1.4431105,48.9191381,Domaine de Primard,
4.8314129,43.787414,Le Saint Remy,
7.1756104,44.069299,L' Auberge de la Roche Valdeblore,
7.1129373,43.5710255,Hôtel le Sud,
5.1945815,43.8717536,Domaine Les Martins,
-1.4080703,43.6910391,70 hectares... et l'océan,
11.2498047,43.7729256,The Place Firenze,
9.2018357,45.4683227,Villa Necchi Campiglio,
1.43622,39.04415,Ca Na Xica,
1.2941328,38.9907211,OKU IBIZA,
6.640934,43.273144,La Ponche Hôtel Restaurant · Saint Tropez,
-8.0669904,31.4556934,Villa Taj Marrakech weddings,
7.2884216,46.4759906,Alpina Gstaad,
4.7422662,43.7356017,Château d'Estoublon,
25.2130203,37.1208043,"Parīlio, a Member of Design Hotels",
14.4850449,40.6276976,Hotel Santa Caterina,
14.4875927,40.6288697,Le Sirenuse,
5.1960257,43.9086179,Le Mas de Béthel,
5.2431049,43.9345627,Le Mas des Herbes Blanches,
5.783575,43.250019,Hotel & Spa Du Castellet - 5 Etoiles - Var,
18.172187,40.3545488,Patria Palace Hotel - Ho Hotels Collection,
1.4406694,39.0787609,Siau Ibiza Hotel 5* (Adults Only),
1.4970978,38.9628574,Can Domo,
-1.6582314,43.4018363,La Réserve Saint-Jean-de-Luz,
17.5224847,40.7586405,Masseria Il Frantoio,
3.4202123,39.7233597,Cases de Son Barbassa Hotel & Restaurant,
17.611805,40.73467,Masseria Moroseta,
