X,Y,Name,description
10.2104009,56.1587522,La Cabra Coffee Roasters,
127.0409932,37.5267628,Tea Collective,
127.0000943,37.5360789,Anthracite Coffee Roasters Jeju Hanlim,
126.9885827,37.5360057,C Through Cafe,
2.3481741,48.8647839,Kodama,
127.0356796,37.5253154,QUEENMAMA MARKET,
2.3373715,48.8655242,Cafe Kitsune,
2.3673727,48.8590391,Neighbours,
2.3530365,48.8646364,Partisan Café Artisanal,
2.3466129,48.8806912,roche coffee shop,
-118.287282,34.1065541,Maru Coffee,
-118.2303882,34.0309539,Maru Coffee,
2.3553145,48.8903077,Lomi,
12.5422628,55.693661,The Coffee Collective Jægersborggade,
12.5335216,55.6870991,The Coffee Collective,
12.5824585,55.6800838,The Coffee Collective Bernikow,
12.581826,55.677421,CUB Coffee Bar Boldhusgade,
2.376747,48.8526863,Passager,
2.3007435,48.8570061,Omotesando,
-0.134837400000038,51.5165531,Omotesando Koffee,
2.3557431,48.8544402,La Caféothèque de Paris,
2.3690393,48.8562232,BACK IN BLACK by KB Coffee Roasters,
2.34923,48.8662418,Substance Café,
2.3817047,48.8751346,Belleville Brûlerie - Paris,
2.3742482,48.8832539,"Belleville Brûlerie - Paris - ""Le Quartier Général""",
2.3363585,48.8661837,Télescope,
12.573263,55.6960031,April Coffee Store & Showroom,
-0.1780653,51.5554686,Ginger & White,
-1.9729685,43.3255602,La Guinda Deli & Coffe,
-1.550205,43.4847905,Deus Ex Machina - The Tenement Of Tenacity,
-1.5563939,43.4817177,Colors of Surfing,
-3.6949265,40.411898,ACID Café,
2.3282134,48.8864335,La Main Noire,
9.2087887,45.467114,Loste Café,
-3.6832549,40.430489,Cristina Oria Restaurante & Tienda Gourmet - Ortega y Gasset 29,
-9.178873,38.7034979,LxFactory,
2.3402927,48.8908722,Two Doors Coffee-Shop,
2.317856,48.887082,Dose Paris • Batignolles,
2.3233068,48.8917471,Espeletia Café,
-9.1286418,38.7135217,Copenhagen Coffee Lab & Bakery - Alfama,
12.6225053,55.6639537,Copenhagen Coffee Lab,
7.0168446,43.5543278,"Copenhagen Coffee Lab - Cannes, Blvd Carnot",
-9.1370759,38.7126838,Copenhagen coffee lab,
-9.1519371,38.7147619,Copenhagen Coffee Lab & Bakery,
-9.1439928,38.7077404,Copenhagen Coffee Lab & Bakery - Cais do Sodré,
-9.1561996,38.7189109,Copenhagen Coffee Lab & Bakery - Estrela,
2.3249371,48.8543713,Arabica Beaupassage,
-1.562347,43.4750472,Mood Café,
2.3481962,48.8470061,TRAM,
2.3446142,48.88691,The Hardware Société Paris,
2.35626,48.8642311,The Coffee,
