X,Y,Name,description
2.3813834,48.8507906,Mokonuts Cafe and Bakery,
2.3716508,48.8681354,Robert,
2.3500202,48.8806074,Les Arlots,
2.368177,48.8715463,Levantine,
2.3419789,48.8610196,Clover Grill,
-1.608927,43.424956,Providence Guéthary,
2.3434734,48.8697061,Jòia,
-1.8518056,48.6709446,BREIZH Café Cancale,
2.386121,48.834823,L'Auberge Aveyronnaise,
12.5559149,55.6922215,Bæst,
2.3346904,48.8818459,Pink Mamma,
2.3206392,48.8835178,Mamma Primi,
2.3701153,48.8644444,Ober Mamma,
2.3094137,48.860528,Tomy & Co,
2.343293,48.868127,Pizzeria Popolare,
2.3794311,48.8702691,Pizzeria Tripletta,
2.341917,48.8831097,Bijou,
2.3820566,48.8502275,Jouvence,
2.3779611,48.8509938,East Mamma,
2.316977,48.89058,Coretta,
2.349753,48.873762,Vivant,
2.341172,48.855031,Ze Kitchen Galerie,
2.3747656,48.8493191,Passerini,
2.3445439,48.8750429,Abri Soba,
2.3492905,48.8778727,Abri,
2.3849919,48.8654385,Popine,
2.3862279,48.8686439,Dilia,
2.389864,48.852931,Fulgurances,
2.3673774,48.8579767,Fragments,
2.3813876,48.8609891,Le Servan,
2.3808226,48.8535622,Clamato,
2.330282,48.855178,Restaurant Clover,
2.3618005,48.8606335,Breizh Café,
2.3388005,48.8516508,Breizh Café,
2.3402173,48.8802839,La Petite Bretonne,
2.8242143,49.4163305,Chez Célestine,
2.826625,49.4206877,Les Ferlempins,
2.367232,48.863604,Le Clown Bar,
2.3718376,48.8645807,Aux Deux Amis,
2.3362359,48.8661334,Restaurant Kunitoraya,
2.3403531,48.8625728,Claus - La table du petit-déjeuner,
2.3367894,48.852611,Claus - Saint-Germain-des-Prés,
2.3544485,48.8496723,Restaurant A.T,
2.349221,48.8644809,RESTAURANT ERH,
2.3271971,48.8561495,Racines des Prés,
2.3492807,48.875758,Le Bel Ordinaire,
2.3466808,48.8816433,faggio,
2.3009981,48.8374447,Le Bélisaire,
2.3497837,48.8738436,Da Graziella,
2.3545001,48.8772256,Mamagoto,
2.3547699,48.8648674,C.A.M,
2.383292,48.851282,Osteria Ferrara,
2.3526883,48.8496889,Kitchen Ter(re),
2.3644369,48.8537471,Vins Des Pyrenees,
2.3240873,48.8800841,Neva Cuisine,
2.3254803,48.8476946,Quinsou,
2.3377114,48.8530078,Yoshinori,
2.3304876,48.8528061,Le Bar des Prés,
2.3809707,48.8590191,cafe du coin,
2.3417173,48.8714263,Racines,
2.361258,48.8616845,CARBON Paris,
2.3464013,48.8814549,Osteria Faggio,
2.3525346,48.8793633,Chez Casimir,
2.352218,48.87957,Chez Michel,
2.3524371,48.8794666,La Pointe du Grouin,
2.361944,48.874326,Kasha,
2.3359041,48.8649757,Takara,
2.2934472,48.844314,Takara,
2.3494468,48.8645163,Dalmata Pizza Montorgueil,
2.377855,48.8656838,Chez Justine,
139.7038637,35.6642386,TRUNK (HOTEL),
-1.5638833,43.4745482,Chéri Bibi,
-1.5640608,43.4793552,La Crique,
-1.5596859,43.4830099,Bar de La Plage,
-1.5629224,43.4813505,Le Café du Commerce,
-1.5632375,43.450624,Elements,
-1.5642333,43.4791419,Carøe,
12.596201,55.677933,Restaurant Barr,
12.5823338,55.6774964,Admiralgade,
12.5883076,55.6800202,Apollo Bar,
12.5978228,55.6776341,Restaurant 108,
12.6109365,55.6893475,La Banchina,
12.5433471,55.693247,Manfreds,
12.543298,55.69302,Restaurant Relæ,
139.7655404,35.6806293,Toraya,
3.058311,50.638143,Bloempot,
3.059011,50.628867,Restaurant Sébastopol,
3.0617682,50.64149,ROZO,
3.0651635,50.6403954,Papà Raffaele,
3.0588854,50.6287874,Octopus,
3.031894,50.640953,Empreinte,
2.3637096,48.8626592,Mr.T,
2.3060051,48.8603009,Chez L'Ami Jean,
-1.2435896,44.628896,Restaurant Chez Hortense,
2.3605199,48.8700769,Les Résistants,
2.3289756,48.8654493,Kinugawa Vendôme,
2.3186866,48.8502684,Aida,
2.3338803,48.8530282,Teppanyaki Ginza Onodera,
2.3115407,48.8707341,Le Mermoz,
2.3376223,48.8804054,Luz Verde,
2.3093113,48.8610513,La Poule au Pot,
2.3781722,48.8615186,BRUTOS,
2.3798916,48.8626015,Double Dragon,
-2.0282865,48.6489447,Crêperie Le Corps de Garde,
-2.024891,48.650109,La Maison Générale,
-1.8708151,48.6426099,Le Coquillage,
-1.855901,48.670696,A Contre Courant,
-2.0242861,48.635424,Tour Solidor,
-2.03774,48.457901,Auberge des Terre-Neuvas,
-1.9730193,48.5701336,Au Galichon,
-2.0251053,48.6481576,Bistro Autour du Beurre Bordier,
-2.0490763,48.6344574,Castelbrac,
-1.85113,48.671205,Marché aux Huîtres de Cancale,
-2.0247719,48.6481443,Grain noir,
-5.096519,48.457419,Ar Piliguet Restaurant,
-2.0242307,48.6496753,Tanpopo,
-3.212621,48.803676,Abri des Barges L',
-2.025156,48.6480979,Le Comptoir BREIZH Café,
-2.5535863,48.5896892,Le Recommandé,
-3.9136499,47.8725178,Le p'tit casier,
-2.7577292,48.5134671,Crêperie des Promenades,
-4.0982511,47.9760618,"Restaurant Allium, Quimper",
-2.0252789,48.6480363,Otonali,
-1.5567914,43.4780691,Avenida Brasil,
-1.5588046,43.4809758,L'Entre Deux,
-1.6692,43.3826485,Chez Mattin,
-1.663738,43.383212,Restaurant Arrantzaleak Ciboure,
-1.62185,43.420301,Le bel endroit,
-1.6625295,43.3889398,Instincts,
-1.6681113,43.3840193,Maitenia,
-1.6611363,43.3888142,La Boëte,
-1.691163,43.368808,Ferme Lizarraga,
-1.6592763,43.3873182,ETXE NAMI,
-1.5907798,43.4392458,L'antre,
-1.5971828,43.4004191,Ostalapia,
-1.564284,43.47948,Saline Ceviche Bar,
-1.6692,43.3826485,Chez Mattin,
127.0325122,37.5226131,L'amitie,
127.027168,37.5048111,LAB24,
126.9835451,37.5491761,Poom Seoul,
127.0019803,37.5337569,Ilhochic,
126.9996922,37.5369976,"Tasting Room, Itaewon",
127.0235489,37.5190268,villa de spicy,
126.9995902,37.537489,Parc,
2.3723359,48.874196,Mulino Mulé,
2.367436,48.858096,Soon Grill,
2.356489,48.8744506,Takaramono,
127.0414614,37.5267295,Akii,
2.3691085,48.8651318,Le Rigmarole,
2.344001,48.87304,SUMiBi KAZ,
2.2997266,48.9142429,Youpi et Voilà au Théâtre,
126.9624402,37.560191,Yellow Bowl,
127.009466,37.5348679,오스테리아 오르조,
127.0475699,37.5398665,Habitué,
2.3435805,48.8795969,OMA,
2.3508061,48.8485595,CUCINA Mutualité,
126.9871635,37.5411428,Cucciolo Osteria,
2.3250676,48.8486142,Sauvage,
127.0441159,37.5232858,Homuran,
127.0362143,37.522981,갓포아키 도산공원점,
2.350105,48.8732428,Restaurant eels,
2.3315551,48.8802354,Restaurant Addis Ethiopia,
29.024401,40.989339,Çiya Sofrası,
2.3516751,48.8773422,Yün Bistrot Franco-Cantonais & Microbrasserie,
2.2976485,48.8672796,Restaurant Substance,
2.388381,48.858151,Yard Bistro,
2.3328924,48.8903736,Ētsi,
2.439897,48.8609745,Yan Kady Chez Fatou,
2.350216,48.872198,Chez Minnà,
2.321114,48.879344,Mandoobar,
2.3222907,48.8286633,Les Petits Plats,
2.235182,48.8852893,L'escargot 1903,
2.3130887,48.8867428,Rooster par Frédéric Duca,
6.125707,45.89941,kamouraska,
6.171857,45.9227268,L'auberge Sur-Les-Bois,
4.8305047,45.7679975,La bijouterie,
4.8455355,45.7682094,Les Apothicaires,
4.8289931,45.7682835,Sapnà,
-0.077843,51.527954,Two Lights,
2.3849339,48.8527401,Le Chardenoux Cyril Lignac,
2.338916,48.865657,Restaurant du Palais Royal,
2.401596,48.8552109,La Vierge,
2.3721517,48.8813385,La Bicyclette,
5.3784182,43.2958061,La Mercerie,
0.7901051,48.4627866,D'une Ile,
-122.392263,37.7795354,Saison,
2.3339743,48.8644675,BISTROT MEE,
151.2298505,-33.8864597,Saint Peter,
4.8302354,45.7686986,BEL AMI,
2.3598663,48.8665026,Norma,
12.5919331,55.6778812,Studio,
12.5758204,55.6624752,Restaurant Alouette,
4.667997,43.567656,La Chassagnette,
-0.5827329,44.8419254,Garopapilles,
-0.131701,51.51364,Koya Soho,
5.0498851,44.0542361,Chez Serge,
11.2582864,43.7676771,Brac,
2.3672992,48.8630374,Goguette,
2.3658243,48.8539878,Capitaine,
12.613002,55.692033,Broaden & Build,
12.611192,55.690534,Amass Restaurant,
2.3416459,48.8709479,Adar,
2.3445239,48.8725686,Pastore,
2.3488491,48.8634661,Moussa L'Africain | Bistrot Afropéen,
-0.089877500000057,51.5052696,Flor,
-0.126415299999962,51.5094826,Bancone,
-0.130124600000045,51.5137322,Shack-Fuyu,
12.4711729,41.8907455,Taverna Trilussa Trastevere,
12.4691733,41.8904849,Glass Hostaria,
12.4758787,41.9004861,Maxelâ,
12.4774541,41.8785544,Felice a Testaccio,
12.475883,41.900735,Casa Coppelle,
12.4984734,41.9125209,Marzapane,
12.474242,41.894237,Roscioli Salumeria con Cucina,
12.5039455,41.9220658,Osteria Chiana,
12.4761179,41.9099234,Dal Bolognese Roma,
12.4909912,41.8956372,Boccacciello Bistrot,
12.4683802,41.8996006,Giulio Passami L'olio,
12.4774523,41.903788,Matricianella,
12.4799599,41.8744824,Osteria Fratelli Mori,
12.4787312,41.8733134,Marigold Roma,
2.3452415,48.8863579,Le Petit Bleu,
2.3399316,48.8556502,Desi Road,
2.3849962,48.8524313,Bistrot Paul Bert,
2.3723697,48.8647408,Pierre Sang in Oberkampf,
2.3345176,48.8670442,Kanadé,
2.3849879,48.8584072,Café Mirabelle,
2.35184,48.8711998,TANGUY,
12.4769073,41.8968501,La Ciambella,
12.486317,41.876015,Bull Steak,
12.4772318,41.8780463,MASTO,
12.4783955,41.8789517,Taverna Volpetti,
12.4408874,41.8768059,Trattoria Da Cesare al Casaletto,
2.340083,48.8665171,Le Bougainville,
2.328178,48.858858,Les Climats,
