id,lat,long,nom,ville,type,adresse
922,2.3470505,48.8664794,Riha Durum,75002,pouce/orient,1 Rue des Petits Carreaux
923,2.3542717,48.8724274,Urfa Dürüm,75010,pouce/orient,58 Rue du Faubourg Saint-Denis
924,2.366787,48.8800486,Beng Beng,75010,asiatique/pouce,23 Rue Louis Blanc
926,2.3355272,48.868115,Zaza par Yoni Saada,75002,pouce/orient,51 Pass. Choiseul
928,2.3375569,48.8687302,Bagnard Augustin par Yoni Saada,75002,pouce/orient/neobistrot,7 Rue Saint-Augustin
929,2.3044634,48.8335793,Guillaume Grasso la vera Pizza Napoletana,75015,italien,45 Rue Brancion
930,2.3318359,48.8486408,Sôma Sando,75006,asiatique/pouce,62 Rue de Vaugirard
931,2.3666679,48.8801863,ROUND,75010,pouce/burger,25 Rue Louis Blanc
932,2.3416032,48.8567772,Ha Noi 1988,75001,asiatique,72 Quai des Orfèvres
933,,,FEEL LING,75116,asiatique,24 Rue Lauriston
934,,,Mi Perú,75012,pouce/brasserie,7 Rue Rondelet
935,,,Cuties,75002,burger,10 Pass. des Panoramas
936,,,La Riposte restaurant,75009,italien,19 Rue de Bruxelles
937,,,Dumbo Petites-Écuries,75010,burger,14 R. des Petites Écuries
938,,,La Monella Pizzeria,75017,italien,2 Rue Lemercier
939,,,Olive Chichen,75014,asiatique,6 Rue Poinsot
940,,,Numéro 10,75009,burger,10 Rue Frochot
941,,,Shabestan - Champs-Élysées,75008,orient,5 Rue du Commandant Rivière
942,,,La Sabicherie,75011,orient,33 Rue du Faubourg Saint-Antoine
943,,,Dizen,75009,orient,27 Rue Pierre Fontaine
944,,,Au pactole Nedra traiteur,75017,orient/coeur,33 Rue Legendre
945,,,Itegue Taitu,75019,africain,66 Rue Armand Carrel
946,,,Miam-Miam Cool,75009,asiatique,41 Rue de Provence
947,,,Gumbo Yaya Chicken and Waffles,75010,africain/pouce,3 Rue Charles Robin
948,,,Baba Zulu,75010,burger/pouce,23 Rue Beaurepaire
949,,,Sonny’s pizza,75011,italien,5 Rue de la Fontaine au Roi
950,,,Meshuga,75006,burger/pouce,3 Rue Vavin
951,,,BIKINI Burger Joint,75010,burger/pouce,29 Rue d'Enghien
952,,,Junk Montmartre,75002,burger/pouce,114 Rue Montmartre
953,,,JANET by Homer - Marais,75004,burger/pouce,13 Rue Rambuteau
954,,,Bao Express,75011,asiatique,10 R. Bréguet
955,,,Enni Udon,75008,asiatique,6 Rue de la Renaissance
956,,,Chez Neung,75005,asiatique,70 Bd Saint-Marcel
957,,,Xiang Piao Piao,75017,asiatique,4 Rue Davy
958,,,Spécimen Burger,75006,burger/pouce,3 Rue Guisarde
959,,,Les Pantins,93500,neobistrot,6 Rue Victor Hugo
960,,,Zapi,75008,italien,20 Rue du Boccador
961,,,Tawlet Paris,75011,orient,2 Rue de la Fontaine au Roi
962,,,Soces,75019,neobistrot,32 Rue de la Villette
963,,,L'Alimentari,75004,italien,6 Rue des Ecouffes
964,,,Jones,75011,neobistrot,43 Rue Godefroy Cavaignac
965,,,Zakuro,75002,asiatique,4 Rue de Port-Mahon
966,,,Baca'v par Emile Cotte,75005,neobistrot,6 Rue des Fossés Saint-Marcel
967,,,Ayadi Gourmet,75005,orient,17 Rue Frédéric Sauton
968,,,Pianoterra,75011,italien,49 Rue Popincourt
969,,,Le Baratin,75020,neobistrot,3 Rue Jouye-Rouve
970,,,Komatsubaki Paris,75008,asiatique,3 Rue d'Artois
971,,,Brigade du Tigre,75010,asiatique/neobistrot,38 Rue du Faubourg Poissonnière
972,,,BangBang Restaurant,75020,asiatique/neobistrot,09 Rue du Liban
973,,,Jugaad,75002,indien/neobistrot,16 Rue Favart
974,,,"ecume, comptoir marin",75017,neobistrot,78 R. de Lévis
975,,,Acte II,75003,neobistrot,93 Rue Vieille-du-Temple
976,,,Misa Bulgogi,75017,asiatique,24 Rue Brey
977,,,KALYPSO Comptoir Marin,75017,neobistrot,19 Rue Brochant
978,,,Casa Di Peppe,75005,italien,222 Rue Saint-Jacques
979,,,L'Osteria Ruggera,75002,italien,35 Rue Tiquetonne
980,,,Sur Mer,75010,neobistrot,53 Rue de Lancry
981,,,Freddy's,75006,neobistrot,54 Rue de Seine
982,,,Gargouille,75009,neobistrot,7 Rue Jean-Baptiste Pigalle
983,,,Terra,75003,neobistrot,21 Rue des Gravilliers
984,,,Brasserie Martin,75011,brasserie,24 Rue Saint-Ambroise
985,,,Recoin,75011,neobistrot,60 Rue St Sabin
986,,,Passionné Restaurant,75009,neobistrot/gastronomique,17 Rue Bergère
987,,,BAANBECK,75004,asiatique/neobistrot,2 Quai Henri IV
988,,,Magma,75011,neobistrot,9 Rue Jean-Pierre Timbaud
989,,,Vive Restaurant,75017,neobistrot,62 Av. des Ternes
990,,,YUSHIN,92200,asiatique,77 Rue Chauveau
991,,,Les Oeillets,75011,neobistrot,137 Rue Saint-Maur
992,,,HANDO Parisian Handroll,75006,asiatique,89 Rue de Sèvres
993,,,Mallory Gabsi,75017,neobistrot/gastronomique,28 Rue des Acacias
994,,,Restaurant TenZen,75001,asiatique,8 Rue de l'Échelle
995,,,Mer & Coquillage Paris,75002,neobistrot,36 Rue des Petits Champs
996,,,CHARBON KUNITORAYA,75001,asiatique/neobistrot,5 Rue Villédo
997,,,Sugaar,75006,neobistrot,5 Rue Gozlin
998,,,Totto Restaurant,75012,asiatique,6 Rue Théophile Roussel
999,,,Localino,75006,italien,10 Rue de l'Odéon
1000,,,La Boucherie Grégoire,75006,brasserie/neobistrot,29 Rue de l'Abbé Grégoire
1001,,,Chakaiseki Akiyoshi,75015,asiatique,59 Rue Letellier
1002,,,Ryô,75001,asiatique,7 Rue des Moulins
1003,,,L’ascension,75009,brasserie/neobistrot,67 Rue de Clichy
1004,,,Le Rubis,75002,neobistrot,14 Rue Léopold Bellan
1005,,,Shang Palace,75116,gastronomique/asiatique,10 Av. d'Iéna
1006,,,Restaurant Akrame,75008,gastronomique,7 Rue Tronchet
1007,,,Table,75012,gastronomique,3 R. de Prague
1008,,,CLAIRE Heitzler,92300,patisserie,9 Rue du Parc
1009,,,La Pépinière des Batignolles,75017,brunch/coffee/pouce,15 Rue des Dames
1010,,,Bältis,75004,glace,27 Rue Saint-Antoine
1011,,,Copains,75002,boulangerie/patisserie,60 Rue Tiquetonne
1012,,,Brach Paris,75016,patisserie,1-7 Rue Jean Richepin
1013,,,Jeffrey Cagnes Paris 17ème,75017,patisserie,24 Rue des Moines
1014,,,Jeffrey Cagnes Paris 2ème,75002,patisserie,73 Rue Montorgueil
1015,,,Jade Genin,75002,chocolatier,33 Av. de l'Opéra
1017,,,CAFÉ NUANCES,75001,coffee,25 Rue Danielle Casanova
1018,,,laïzé marais,75003,coffee/patisserie/asiatique,19 Rue de Montmorency
1019,,,Laïzé Opéra,75002,coffee/patisserie/asiatique,68 Pass. Choiseul
