id,lat,long,nom,ville,type,adresse
1199,,,Le Boréal,75018,neobistrot,"39 Rue Montcalm, 75018 Paris"
1200,,,CinqSens Paris - Saint Charles,75015,patisserie,"114 Rue St Charles, 75015 Paris"
1201,,,PARPAINS,75019,patisserie/boulangerie,"30 Rue Tandou, 75019 Paris"
1202,,,Atti Café,75002,patisserie/coffee,"3 Rue de Mulhouse, 75002 Paris"
1203,,,Les trois chocolats Paris,75004,patisserie/chocolatier,"45 Rue Saint-Paul, 75004 Paris"
1204,,,Boulangerie Léonie - Trudaine,75009,patisserie/boulangerie,"15 Av. Trudaine, 75009 Paris"
1205,,,Boulangerie Leonie - Hauteville,75010,patisserie/boulangerie,"94 Rue d'Hauteville, 75010 Paris"
1206,,,Boulangerie Chambelland Oberkampf,75011,patisserie/boulangerie/pouce,"14 Rue Ternaux, 75011 Paris"
1207,,,"Boulangerie Chambelland, Batignolles",75017,patisserie/boulangerie/pouce,"43 Rue Brochant, 75017 Paris"
1208,,,Boulangerie Bacillus - Jonquière,75017,patisserie/boulangerie,"49 Rue de La Jonquière, 75017 Paris"
1209,,,Jolie Miche,75017,patisserie/boulangerie/pouce,"176 Av. de Clichy, 75017 Paris"
1210,,,Tranché Batignolles - Boulangerie engagée,75017,patisserie/boulangerie,"20 Rue des Dames, 75017 Paris"
1211,,,Tranché Rochechouart - Boulangerie engagée,75009,patisserie/boulangerie,"62 Rue Marguerite de Rochechouart, 75009 Paris"
1212,,,Cafe Content,75011,neobistrot,"11 Rue Saint-Maur, 75011 Paris"
1213,,,BOB’S CAFÉ,75013,coffee/brunch/pouce,"MK2 Bibliothèque, 128-162 Av. de France, 75013 Paris"
1214,,,48 Collagen Café,75009,coffee,"48 Rue La Fayette, 75009 Paris"
1215,,,PonPon Café,75001,coffee/asiatique/patisserie,"3 Rue Molière, 75001 Paris"
1216,,,I/O Café,75003,coffee,"16 Rue Dupetit-Thouars, 75003 Paris"
1217,,,Sevenly Heart,75003,coffee/vins/patisserie,"55 Rue des Archives, 75003 Paris"
1218,,,CHANCEUX Galande,75005,coffee/brunch/pouce,"63 Rue Galande, 75005 Paris"
1219,,,CHANCEUX St Maur,75011,coffee/brunch/pouce,"57 Rue Saint-Maur, 75011 Paris"
1220,,,KAPÉ - Café philippin,75011,coffee/patisserie/brunch,"17 Rue de Malte, 75011 Paris"
1221,,,Candle Kids,75020,coffee/patisserie,"107 Rue des Couronnes, 75020 Paris"
1222,,,Bel Horizon Coffee Roasters,75015,coffee/patisserie,"26 Bd Garibaldi, 75015 Paris"
1223,,,Partage Café,75015,coffee/patisserie/pouce/brunch,"31 Rue Lecourbe, 75015 Paris"
1224,,,Little Miss Geisha,75006,neobistrot/asiatique,"13 Rue de Médicis, 75006 Paris"
1225,,,Kodama Beaumarchais,75003,the,"69 Bd Beaumarchais, 75003 Paris"
1226,,,Arnaud Nicolas Lévis,75017,boucherie/brasserie,"8 R. de Lévis, 75017 Paris"
1227,,,LEVIS MAREE,75017,poissonerie,"46 R. de Lévis, 75017 Paris"
1228,,,Les Vins Du Matin,75018,neobistrot/vins,"73 Rue Riquet, 75018 Paris"
1229,,,Le Discobar,75020,bar,"92 Rue Rebeval, 75019 Paris"
1230,,,Cravan paris,75006,bar,"165 Bd Saint-Germain, 75006 Paris"
1231,,,,,,
