numero,Lat,Long,Nom,Ville,Pays,Type,star,isReservable,horaires,adresse,photo
680,2.3485325,48.8682785,Echo,75002,France,sur_le_pouce/burger/brunch,,,,95 Rue d'Aboukir,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvspFyLb5ZDNTmV0L81NCSVAnO6Mmuw3KTqg&usqp=CAU
681,2.3485348,48.8738363,Ozlem,75010,France,sur_le_pouce/moyen_orient,,,,57 Rue des Petites Écuries,https://sneakerspirit.com/wp-content/uploads/2019/10/IMG_0647-min-820x1024.jpg
682,2.333787,48.864718,Sanukiya,75001,France,asiatique,,,,9 Rue d'Argenteuil,https://media-cdn.tripadvisor.com/media/photo-s/0e/1b/71/8f/photo0jpg.jpg
683,2.3356451,48.8935876,B.O.U.L.O.M,75018,France,brunch/brasserie/boulangerie/patisserie,,,,181 Rue Ordener,https://media-cdn.tripadvisor.com/media/photo-s/12/bb/3a/ea/boulom.jpg
684,2.3815096,48.8439199,Ground Control,75012,France,sur_le_pouce,,,,81 Rue du Charolais,https://media.timeout.com/images/105474562/image.jpg
685,2.3318356,48.8776569,Hanoi Corner,75009,France,sur_le_pouce/asiatique/coffee_shop/patisserie,,,,7 Rue Blanche,https://axwwgrkdco.cloudimg.io/v7/lefooding.com/medias/2021/07/17_51_58_344_coffee_shop_hanoi_corner_paris.png?width=1440&height=964&optipress=3
686,-1.4755922,43.491,JANINE,Bayonne,France,sur_le_pouce/neobistrot,,,,12 Rue Port de Castets,https://media-cdn.tripadvisor.com/media/photo-s/1b/af/6e/49/photo0jpg.jpg
687,-1.5589087,43.4816198,Milwaukee Café,Biarritz,France,sur_le_pouce/coffee_shop/brunch/patisserie,,,,2 Rue du Helder,https://tourisme.biarritz.fr/photos_tourinsoft/restaurants/originales/RESAQU064FS0020VMilwaukee-Biarritz-devanture-1.jpg
688,12.5550536,55.6698114,Sanchez,Copenhague,Danemark,mexicain/neobistrot,,,,Istedgade 60  1650 København,https://lovesanchez.com/wp-content/uploads/2020/10/HDS_tostada.jpg
689,2.3373551,48.8803279,Chiquitin,75009,France,mexicain/sur_le_pouce,,,,21 Rue Henry Monnier,https://media-cdn.tripadvisor.com/media/photo-s/16/68/a0/07/ceviche-guacamole-frites.jpg
690,2.3296211,48.832473,Restaurant Kwon,75014,France,asiatique,,,,7 Rue Ernest Cresson,https://i1.wp.com/carnetcoreen.com/wp-content/uploads/2018/12/kwon5.jpg?fit=520%2C390&ssl=1
