Lat,Long,Nom,Ville,Pays,Type,star,isReservable,horaires,adresse,photo
5.3862614,43.2700481,AM par Alexandre Mazzia,Marseille,France,gastronomique,,,,9 Rue François Rocca,https://www.theworlds50best.com/discovery/filestore/jpg/AMparAlexandreMazzia-Marseille-France-01.jpg
2.318709,48.8819791,ANONA,75017,France,neobistrot,,,,80 Bd des Batignolles,https://www.sortiraparis.com/images/80/91626/575650-anona-2020-9.jpg
2.3476571,48.8719938,Kemia Paris,75009,France,neobistrot,,,,1 Rue Bergere,https://media-cdn.tripadvisor.com/media/photo-s/1b/ab/3c/92/kemia.jpg
5.3823059,43.2934757,limmat,Marseille,France,neobistrot/brasserie,,,,41 Rue Estelle,https://1.bp.blogspot.com/-_MBPPYY-FHM/XyUdCWYm5pI/AAAAAAAABXc/zGk1UQS_Hp4IBTQ7KSoSR1JAxs257ktCgCLcBGAsYHQ/s1600/IMG_20200730_220729.jpg
-1.6603119,43.3864873,Le Komptoir des Amis,Saint-Jean-de-Luz,France,neobistrot,,,,7 Bd du Commandant Passicot,https://cdt64.media.tourinsoft.eu/upload/le-komptoir-des-amis-1440.jpg?width=1000&height=625&crop=1
5.3737193,43.2830839,La Bonne Mere,Marseille,France,italien,,,,16 Rue Fort du Sanctuaire,https://media-cdn.tripadvisor.com/media/photo-s/19/25/d5/e0/pizzeria-la-bonne-mere.jpg
2.1633639,41.3826599,Alkimia,Barcelona,Spain,gastronomique,,,,Ronda de Sant Antoni  41  08011 Barcelona,https://static.barcelona.com/var/plain/storage/images/barcelona_directory/restaurants/nouvelle_cuisine/alkimia/alkimia_4/1795761-3-eng-GB/alkimia_4_place-full.jpg
2.1572649,41.3912582,Gresca,Barcelona,Spain,brasserie/neobistrot,,,,Carrer de Provença  230  08036 Barcelona,https://letsholidays.com/upload/experiencias/887/sm_bar-gresca-holiday.jpg
2.1633998,41.3960475,Restaurant Xavier Pellicer,Barcelona,Spain,gastronomique,,,,Carrer de Provença  310  08037 Barcelona,"https://res.cloudinary.com/tf-lab/image/upload/w_600,h_337,c_fill,g_auto:subject,q_auto,f_auto/restaurant/b03d99e7-1560-434c-888d-c7af4f831052/a9f369e9-5a91-422d-8ebb-a2afd9e1d86a.jpg"
-3.6926825,40.4274278,FAYER Madrid,Madrid,Spain,brasserie/neobistrot,,,,C. de Orfila  7  28010 Madrid,https://media-cdn.tripadvisor.com/media/photo-p/1b/a5/fe/93/fayermad.jpg
-3.6973425,40.4175316,Umiko Restaurante Japones Fusión,Madrid,Spain,asiatique,,,,C. de los Madrazo  18  28014 Madrid,https://media-cdn.tripadvisor.com/media/photo-s/1a/98/2f/30/nigiri-de-socarrat-de.jpg
-3.689708,40.4212084,Il Tavolo Verde,Madrid,Spain,vege/brunch,,,,C. Villalar  6  28001 Madrid,https://media-cdn.tripadvisor.com/media/photo-p/0a/5b/19/66/sweet-potato-dish-quiche.jpg
2.1765201,41.3884277,Flax & Kale Passage,Barcelona,Spain,brasserie,,,,Carrer de Sant Pere Mes Alt  31  33  08003 Barcelona,https://media.timeout.com/images/105082010/image.jpg
2.190493,41.3690429,Pez Vela,Barcelona,Spain,brasserie,,,,Passeig del Mare Nostrum  19  21  08039 Barcelon,https://images.squarespace-cdn.com/content/v1/55643b18e4b064c1f32a5ce9/1481547663209-QXCMR8IAV5ZUNICHSVWN/Pez+Vela+paella+Barcelona?format=1000w
2.1568501,41.3752065,Tickets,Barcelona,Spain,gastronomique,,,,Av. del Paral·lel  164  08015 Barcelona,https://www.barcelona-life.com/wp-content/uploads/2018/02/tickets-barcelona-tapas.jpg
2.173125,41.3791528,Cañete,Barcelona,Spain,brasserie,,,,Carrer de la Unió  17  08001 Barcelona,https://media-cdn.tripadvisor.com/media/photo-s/02/40/9d/c2/morena-en-adobo-con-gambitas.jpg
2.3712576,48.8694776,Le Dauphin,75011,France,neobistrot/bar,,,,131 Ave Parmentier,http://agirlhastoeat.com/wp-content/uploads/2011/10/P1040414.jpg
